%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	378.72	155.284	0	0	2254	-0.666181	0.752023	1519743933678
389	363.762	142.966	0	0	2219.5	0.692709	0.751426	1519743951615
390	361.191	145.694	0	0	2229.5	0.687293	0.757508	1519743951660
391	358.752	148.117	0	0	2221	0.723234	0.734725	1519743951705
392	354.029	152.924	0	0	2225	0.667713	0.760607	1519743951751
393	351.268	155.743	0	0	2235.5	0.720001	0.731458	1519743951798
394	345.721	161.302	0	0	2244	0.793602	0.742334	1519743951843
395	342.899	163.809	0	0	2246	0.772237	0.739308	1519743951888
396	339.847	166.494	0	0	2238	0.735252	0.740349	1519743951934
397	334.533	171.362	0	0	2246	0.774841	0.742995	1519743951988
398	331.714	173.863	0	0	2245	0.838941	0.73639	1519743952033
399	329.005	176.39	0	0	2252	0.766003	0.75402	1519743952078
400	323.586	181.294	0	0	2258	0.808883	0.756029	1519743952124
401	320.17	184.304	0	0	2265	0.758897	0.740351	1519743952170
402	313.917	189.541	0	0	2271	0.781725	0.715373	1519743952215
403	310.968	191.97	0	0	2282	0.789112	0.748526	1519743952262
404	305.209	196.878	0	0	2277.5	0.842846	0.730216	1519743952307
405	302.033	199.385	0	0	2278.5	0.797966	0.734133	1519743952354
406	299.003	201.788	0	0	2284.5	0.855639	0.74488	1519743952400
407	295.964	204.144	0	0	2283.5	0.824203	0.738308	1519743952445
408	290.282	208.564	0	0	2284.5	0.845638	0.753853	1519743952491
409	287.405	210.811	0	0	2289	0.841145	0.729579	1519743952537
410	281.928	215.341	0	0	2294.5	0.884138	0.729547	1519743952581
411	278.883	217.663	0	0	2288.5	0.918188	0.733743	1519743952627
412	275.488	220.283	0	0	2293	0.859985	0.736992	1519743952673
413	269.684	224.802	0	0	2294.5	0.885567	0.74814	1519743952719
414	266.522	227.378	0	0	2293	0.854196	0.736992	1519743952765
415	263.906	229.524	0	0	2302	0.845934	0.74246	1519743952811
416	258.21	234.389	0	0	2303	0.875925	0.727952	1519743952856
417	254.783	237.11	0	0	2313.5	0.836378	0.735588	1519743952902
418	249.035	241.867	0	0	2311.5	0.746468	0.74997	1519743952956
419	246.29	244.327	0	0	2304	0.7696	0.749384	1519743953002
420	241.087	249.047	0	0	2307	0.79811	0.756726	1519743953047
421	238.249	251.727	0	0	2319	0.867049	0.754263	1519743953092
422	235.034	254.453	0	0	2322.5	0.835072	0.744644	1519743953137
423	232.043	256.946	0	0	2317.5	0.795564	0.749301	1519743953183
424	226.291	261.791	0	0	2313.5	0.84442	0.754335	1519743953229
425	223.581	264.186	0	0	2325.5	0.785994	0.739404	1519743953274
426	218.135	268.895	0	0	2331.5	0.825109	0.741311	1519743953320
427	215.635	271.133	0	0	2337	0.775907	0.738699	1519743953365
428	212.773	273.602	0	0	2365.5	0.667955	0.749532	1519743953411
429	209.666	276.026	0	0	2360	0.741444	0.764924	1519743953457
430	203.723	280.754	0	0	2358	0.708482	0.751571	1519743953502
431	201.027	282.797	0	0	2360	0.738907	0.786236	1519743953548
432	195.847	287.009	0	0	2358	0.736626	0.745337	1519743953593
433	192.987	289.451	0	0	2371	0.80627	0.793864	1519743953637
434	187.05	293.966	0	0	2353	0.914396	0.762655	1519743953685
435	183.805	296.463	0	0	2372	1.07125	0.726462	1519743953730
436	180.612	299.056	0	0	2365	0.949046	0.751203	1519743953775
437	177.867	301.236	0	0	2375	0.978683	0.721466	1519743953820
438	172.997	305.38	0	0	2379	0.881308	0.731081	1519743953866
439	170.29	307.691	0	0	2382	0.990642	0.729524	1519743953912
440	164.613	312.39	0	0	2382.5	0.883812	0.731429	1519743953965
441	161.971	314.54	0	0	2381.5	0.882282	0.71929	1519743954011
442	156.667	319.207	0	0	2380.5	0.774332	0.760601	1519743954056
443	154.348	321.236	0	0	2383.5	0.812225	0.767964	1519743954102
444	151.691	323.668	0	0	2390	0.860764	0.74665	1519743954148
445	149.254	325.782	0	0	2394.5	0.505469	0.803745	1519743954194
446	144.688	329.773	0	0	2389.5	0.651387	0.781847	1519743954240
447	142.36	331.963	0	0	2393.5	0.62756	0.78705	1519743954287
448	137.965	336.019	0	0	2393	0.546918	0.808128	1519743954332
449	135.766	338.061	0	0	2398.5	0.507728	0.757375	1519743954380
450	131.985	341.86	0	0	2385.5	0.564558	0.762198	1519743954425
451	129.924	343.997	0	0	2392.5	0.380508	0.793433	1519743954472
452	127.602	346.562	0	0	2409.5	0.45593	0.801897	1519743954519
453	122.92	351.706	0	0	2372.5	0.597581	0.793542	1519743954564
454	121.602	353.381	0	0	2373	0.541133	0.818258	1519743954609
455	120.838	354.377	0	0	2375	0.598864	0.818948	1519743954655
456	119.271	356.982	0	0	2382	0.115235	0.774754	1519743954700
457	118.242	358.733	0	0	2372	0.0253349	0.778047	1519743954745
458	117.288	360.842	0	0	2374	0.00890564	0.778703	1519743954791
459	115.44	365.164	0	0	2382	-0.216858	0.800381	1519743954837
460	114.651	367.629	0	0	2391.5	-0.180253	0.795906	1519743954884
461	114.091	369.677	0	0	2374	-0.159538	0.801712	1519743954929
462	113.425	373.944	0	0	2380.5	-0.33501	0.782775	1519743954984
463	113.114	379.139	0	0	2357.5	-0.462065	0.791325	1519743955028
464	113.235	381.69	0	0	2353.5	-0.52019	0.813601	1519743955073
465	113.623	384.668	0	0	2340.5	-0.566158	0.782839	1519743955119
466	114.005	387.408	0	0	2348.5	-0.571268	0.804862	1519743955165
467	115.058	390.937	0	0	2326	2.32454	0.823355	1519743955210
468	116.091	393.23	0	0	2324	2.33449	0.798488	1519743955256
469	118.586	397.324	0	0	2308.5	2.14249	0.782713	1519743955302
470	120.075	399.197	0	0	2298.5	2.00667	0.805655	1519743955349
471	121.747	400.823	0	0	2291.5	1.97832	0.789324	1519743955394
472	126.261	403.757	0	0	2208	1.82556	0.788506	1519743955439
473	129.258	405.251	0	0	2202	1.67315	0.778287	1519743955485
474	132.466	406.201	0	0	2196	1.58418	0.776166	1519743955531
475	139.07	406.791	0	0	2193.5	1.35063	0.804148	1519743955577
476	143.4	406.52	0	0	2183	1.22981	0.785315	1519743955622
477	154.047	403.017	0	0	2186	1.03205	0.786395	1519743955667
478	159.584	400.043	0	0	2197.5	0.971659	0.762415	1519743955712
479	165.304	396.777	0	0	2198.5	0.880019	0.783086	1519743955757
480	170.554	393.331	0	0	2213.5	0.823218	0.778682	1519743955804
481	178.974	386.644	0	0	2215.5	0.804589	0.792033	1519743955849
482	183.214	382.989	0	0	2220	0.77655	0.7818	1519743955894
483	190.748	375.974	0	0	2256.5	0.800773	0.760118	1519743955940
484	193.726	372.899	0	0	2252	0.693791	0.769837	1519743955992
485	199.691	366.309	0	0	2256	0.715158	0.773973	1519743956037
486	203.064	362.839	0	0	2253.5	0.665851	0.756416	1519743956085
487	206.188	359.238	0	0	2276	0.679937	0.746558	1519743956130
488	209.092	355.896	0	0	2290.5	0.660066	0.762293	1519743956175
489	213.822	350.281	0	0	2297	0.679258	0.744505	1519743956220
490	215.608	348.092	0	0	2290.5	0.695195	0.768836	1519743956266
491	220.555	342.515	0	0	2262	0.716718	0.773256	1519743956312
492	223.643	339.375	0	0	2271	0.691799	0.776332	1519743956358
493	228.542	333.785	0	0	2259	0.678369	0.77223	1519743956403
494	230.998	330.959	0	0	2265.5	0.643535	0.741274	1519743956449
495	233.075	328.393	0	0	2269	0.656129	0.738	1519743956495
496	235.531	325.687	0	0	2260.5	0.595893	0.777488	1519743956540
497	240.665	319.389	0	0	2265.5	0.64871	0.728894	1519743956587
498	243.188	316.251	0	0	2292	0.612609	0.758212	1519743956634
499	247.603	310.539	0	0	2277	0.657012	0.749512	1519743956681
500	249.92	307.594	0	0	2281.5	0.626882	0.743901	1519743956726
501	255.02	301.486	0	0	2281	0.638994	0.76373	1519743956772
502	257.584	298.587	0	0	2287.5	0.663695	0.763991	1519743956817
503	260.384	295.238	0	0	2287	0.628802	0.750166	1519743956863
504	262.975	292.171	0	0	2289	0.684821	0.750822	1519743956909
505	267.4	286.808	0	0	2277	0.653162	0.768955	1519743956961
506	269.364	284.572	0	0	2281.5	0.660438	0.755518	1519743957007
507	274.758	278.593	0	0	2282	0.709958	0.739643	1519743957052
508	277.036	276.133	0	0	2284	0.703082	0.740291	1519743957098
509	282.001	270.622	0	0	2277	0.670836	0.738022	1519743957143
510	284.621	267.651	0	0	2273.5	0.7026	0.753969	1519743957188
511	286.807	265.249	0	0	2276.5	0.700757	0.744874	1519743957233
512	289.319	262.388	0	0	2277.5	0.768063	0.748906	1519743957278
513	294.997	256.478	0	0	2276.5	0.721985	0.729896	1519743957323
514	297.83	253.513	0	0	2282	0.697019	0.73601	1519743957369
515	303.285	247.873	0	0	2285.5	0.72664	0.760629	1519743957414
516	304.186	243.162	0	0	1687	0.74146	0.7008	1519743957459
517	306.814	240.113	0	0	1664	0.601754	0.610305	1519743957504
518	309.362	237.194	0	0	1668	0.504219	0.716012	1519743957551
519	314.241	231.781	0	0	1706	0.452217	0.689972	1519743957596
520	317.028	229.61	0	0	1689	0.594067	0.659157	1519743957643
521	321.849	223.649	0	0	1728	0.487252	0.685912	1519743957690
522	324.094	220.973	0	0	1694	0.458321	0.672416	1519743957736
523	328.94	215.978	0	0	1708	0.738872	0.690781	1519743957781
524	331.51	213.223	0	0	1679.5	0.22825	0.636956	1519743957826
525	334.516	210.639	0	0	1599	0.389616	0.686393	1519743957871
526	337.097	207.935	0	0	1665	0.776217	0.686233	1519743957918
527	342.202	202.197	0	0	1659	0.559243	0.702492	1519743957971
528	344.317	199.543	0	0	1682	0.603932	0.698723	1519743958016
529	349.234	194.228	0	0	1691	0.618455	0.647915	1519743958062
530	352.124	190.952	0	0	1673	0.344558	0.697736	1519743958107
531	358.125	185.757	0	0	1662.5	0.319958	0.635291	1519743958153
532	361.177	183.537	0	0	1701.5	0.424441	0.609204	1519743958199
533	363.35	180.606	0	0	1741.5	0.47188	0.715772	1519743958244
534	366.01	178.748	0	0	1658.5	0.353791	0.604455	1519743958290
535	371.136	173.849	0	0	1740	0.570654	0.629214	1519743958336
