%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	591.165	216.156	0	0	2755.5	-0.0914434	0.781737	1523020136092
1	335.891	258.458	0	0	2684.5	2.09355	0.856504	1523020136114
2	333.4	256.038	0	0	2700.5	1.68121	0.86584	1523020136147
3	330.954	253.512	0	0	2687.5	-0.0573094	0.830692	1523020136178
4	328.37	250.898	0	0	2690.5	-0.714661	0.855457	1523020136210
5	325.791	248.432	0	0	2690.5	2.27077	0.865632	1523020136243
6	323.345	246.205	0	0	2688	2.27641	0.892353	1523020136275
7	321.223	244.157	0	0	2693	1.9302	0.868569	1523020136323
8	318.862	241.982	0	0	2684.5	1.78715	0.863702	1523020136355
9	316.428	239.85	0	0	2688.5	-0.648705	0.872288	1523020136387
10	313.868	237.366	0	0	2685	-0.61145	0.869008	1523020136418
11	311.359	235.086	0	0	2692	-0.741555	0.886116	1523020136450
12	308.986	232.637	0	0	2691.5	2.18718	0.865954	1523020136483
13	306.738	230.488	0	0	2688.5	-0.57529	0.875339	1523020136515
14	304.341	228.295	0	0	2687.5	-0.539237	0.886837	1523020136547
15	302.445	226.525	0	0	2689	-0.41803	0.903536	1523020136579
16	300.643	224.921	0	0	2687	2.10549	0.862387	1523020136610
17	298.051	222.667	0	0	2693.5	2.30719	0.87391	1523020136642
18	295.205	220.223	0	0	2688.5	-0.206058	0.890296	1523020136691
19	292.577	217.901	0	0	2694	-0.549725	0.871921	1523020136723
20	289.917	215.491	0	0	2693.5	-0.440352	0.891952	1523020136755
21	287.285	213.275	0	0	2687	-0.518768	0.902864	1523020136786
22	284.798	211.128	0	0	2690	-0.428819	0.888577	1523020136818
23	282.683	209.431	0	0	2693.5	-0.469522	0.891952	1523020136851
24	280.792	207.964	0	0	2704	0.0808438	0.893202	1523020136882
41	234.945	174.564	0	0	2732	0.866206	0.894832	1523020137458
42	233.033	173.305	0	0	2729	0.182746	0.90146	1523020137491
43	230.742	171.741	0	0	2723.5	0.58576	0.905073	1523020137523
44	228.038	169.964	0	0	2733.5	0.544991	0.897546	1523020137555
45	225.149	168.178	0	0	2729.5	0.5624	0.907067	1523020137587
46	222.203	166.103	0	0	2736	0.603745	0.903772	1523020137619
47	219.074	164.034	0	0	2745	0.593511	0.895947	1523020137650
48	216.3	162.125	0	0	2753.5	0.86249	0.896502	1523020137683
49	214.167	160.666	0	0	2743.5	0.590376	0.900829	1523020137715
50	212.033	159.213	0	0	2745.5	0.592749	0.901486	1523020137748
51	209.562	157.494	0	0	2747.5	0.45936	0.88705	1523020137795
52	207.008	155.571	0	0	2750.5	0.59074	0.895525	1523020137827
53	204.311	153.745	0	0	2750.5	0.480617	0.895525	1523020137858
54	201.449	151.543	0	0	2748	0.513707	0.892505	1523020137891
55	198.262	149.261	0	0	2749.5	0.692542	0.8952	1523020137923
56	194.87	146.712	0	0	2761	0.587676	0.875733	1523020137955
57	191.772	144.649	0	0	2768	0.545868	0.88531	1523020137987
58	189.453	143.024	0	0	2775	0.587143	0.898137	1523020138018
59	187.122	141.416	0	0	2765	0.678955	0.8949	1523020138050
60	184.391	139.452	0	0	2768.5	0.595001	0.89383	1523020138083
61	181.607	137.33	0	0	2780	0.601291	0.892235	1523020138114
62	178.647	135.211	0	0	2781.5	0.623554	0.887453	1523020138162
63	175.867	133.253	0	0	2783.5	0.708544	0.880721	1523020138194
64	173.032	131.301	0	0	2780	0.6689	0.874464	1523020138226
65	170.366	129.515	0	0	2782	0.613372	0.878106	1523020138261
66	168.253	128.136	0	0	2789.5	0.704808	0.890005	1523020138291
67	165.567	126.226	0	0	2800.5	0.628565	0.883055	1523020138323
68	163.056	124.424	0	0	2795	0.698051	0.879182	1523020138358
85	118.916	94.9756	0	0	2855.5	0.728663	0.844616	1523020138930
86	116.236	93.2263	0	0	2854.5	0.69968	0.812471	1523020138963
87	113.534	91.5078	0	0	2868	0.733559	0.814431	1523020138995
88	110.649	89.5025	0	0	2865.5	0.68764	0.818273	1523020139026
89	107.966	87.8161	0	0	2886.5	0.717465	0.815138	1523020139058
90	105.317	86.4434	0	0	2901	0.694874	0.793337	1523020139090
91	102.79	84.9326	0	0	2911.5	0.704476	0.791874	1523020139122
92	100.473	83.3309	0	0	2914.5	0.669143	0.786613	1523020139155
93	98.612	82.1353	0	0	2920	0.656692	0.829198	1523020139187
94	96.2514	80.723	0	0	2898	0.681504	0.813858	1523020139234
95	93.8129	79.0496	0	0	2912.5	0.66236	0.831695	1523020139266
96	90.7694	77.0919	0	0	2908.5	0.722626	0.805991	1523020139298
97	88.2984	75.2809	0	0	2928.5	0.670849	0.824314	1523020139330
98	85.565	73.2919	0	0	2936.5	0.653868	0.82012	1523020139362
99	82.806	71.4761	0	0	2925.5	0.702351	0.703432	1523020139394
100	80.4254	69.9015	0	0	2940.5	0.667912	0.770799	1523020139426
101	78.2833	68.4766	0	0	2943	0.681424	0.796095	1523020139458
102	76.4054	67.3079	0	0	2941	0.702855	0.81053	1523020139490
103	74.1267	65.7691	0	0	2949.5	0.643699	0.802209	1523020139524
104	71.5201	64.0448	0	0	2934.5	0.706003	0.783478	1523020139556
105	69.3596	62.5159	0	0	2958	0.68772	0.800153	1523020139603
106	67.0078	60.9869	0	0	2935	0.702856	0.759512	1523020139635
107	64.7081	59.4826	0	0	2948	0.640516	0.776918	1523020139667
108	62.0261	57.8416	0	0	2931.5	0.680769	0.67883	1523020139699
109	59.4284	56.3855	0	0	2927.5	0.741558	0.734625	1523020139731
110	57.2872	55.02	0	0	2922	0.642033	0.663785	1523020139763
111	55.7772	54.366	0	0	2940.5	0.698169	0.756905	1523020139795
112	54.0498	53.5943	0	0	2934.5	0.724643	0.681532	1523020139827
113	52.1012	52.585	0	0	2916	0.720814	0.760302	1523020139859
114	49.8144	51.7044	0	0	2933	0.791491	0.772965	1523020139891
115	47.878	50.6317	0	0	2974	0.656876	0.706326	1523020139923
